Variable,Enduse,Units,Description
DateTime,0,NA,NA
Service,1,Kilowatts,Total Office Service Load Metered
Lights,1,Kilowatts,Lighting
HP,1,Kilowatts,Heat Pump
Work_Station_Receptacles,1,Kilowatts,Work Station Plug Loads
Phone_Alarm,1,Kilowatts,Phone Alarm
IDT,1,Fahrenheit,Indoor Temperature (Kitchen)
WST,1,Fahrenheit,Weather Station Temperature
Annualized_EUI,1,kBtu per Square Foot,Annualized Energy Use Index
Service_Billed,1,Kilowatts,Total Office Service Load Billed
Annualized_EUI_Billed,1,kBtu per Square Foot,Annualized Energy Use Index Billed
Server,1,Kilowatts,Computer Server
